REVIEW_ID,PACKAGE_NAME,RATING,REVIEW_TITLE,REVIEW_TEXT,FULL_REVIEW_TEXT,AUT_LABEL,MANUAL_LABEL,STATUS,FEATURE_NUM
99994962,com.textra,5,,Favourite texting app. I've been using it for years without any hiccups., Favourite texting app. I've been using it for years without any hiccups.,Customization,Other,0,1
33787276,com.jb.gosms,2,Way to generac,I only wanted it For group messaging. I paid the $20 and it's really no different.,Way to generac I only wanted it For group messaging. I paid the $20 and it's really no different.,Customization,Customization,1,1
118436634,com.truecaller,5,,great app. cannot rate it highly enough, great app. cannot rate it highly enough,Customization,Other,0,1
71879830,com.textra,5,,Feature packed incredibly reliable and ultra customisable app which I keep coming back to time and again., Feature packed incredibly reliable and ultra customisable app which I keep coming back to time and again.,Customization,Customization,1,1
33963439,com.textra,3,im not able to get all my messages,i changed my messaging app and i was able to get all my messages again. i wished it worked out because i really liked the layout of this one.,im not able to get all my messages i changed my messaging app and i was able to get all my messages again. i wished it worked out because i really liked the layout of this one.,Customization,Customization,1,1
24647025,com.handcent.app.nextsms,4,Great messaging app,Works like a charm and better customization then standard app.,Great messaging app Works like a charm and better customization then standard app.,Customization,Customization,1,1
35980580,com.truecaller,5,,An essential app to save time, An essential app to save time,Customization,Other,0,1
62152672,com.jb.gosms,1,,I really miss the old go sms pro when it was simple...., I really miss the old go sms pro when it was simple....,Customization,UI,0,1
124006226,com.truecaller,1,,half an hour to show the details, half an hour to show the details,Location connectivity,Location connectivity,1,1
109521027,com.texty.sms,4,,Overall an excellent tool that I use daily. Sometimes the connection between Mighty text and my phone does not work well and I have to resend my text., Overall an excellent tool that I use daily. Sometimes the connection between Mighty text and my phone does not work well and I have to resend my text.,Location connectivity,Location connectivity,1,1
46079146,com.truecaller,5,Supperb,But some numbers are showing out of state.,Supperb But some numbers are showing out of state.,Location connectivity,Location connectivity,1,1
58213228,com.truecaller,4,,It's a good to know the contact names, It's a good to know the contact names,Location connectivity,Caller Identification,0,1
91562876,com.truecaller,5,,Please not internet connection this app, Please not internet connection this app,Location connectivity,Location connectivity,1,1
9382133,com.truecaller,5,,Some contacts don't show with name., Some contacts don't show with name.,Location connectivity,Caller Identification,0,1
91504539,com.truecaller,1,,Location not carected, Location not carected,Location connectivity,Location connectivity,1,1
27191827,com.truecaller,5,Awesome,It's so helpful app. But maximum time just country track but not his location.,Awesome It's so helpful app. But maximum time just country track but not his location.,Location connectivity,Location connectivity,1,1
125362310,com.truecaller,1,,in these days truecaller app not show the caller Name, in these days truecaller app not show the caller Name,Location connectivity,Caller Identification,0,1
86864150,com.truecaller,5,,This is a good app...but I could not find the name of all the callers...which makes this app useless sometimes., This is a good app...but I could not find the name of all the callers...which makes this app useless sometimes.,Location connectivity,Caller Identification,0,1
93048513,com.truecaller,3,,Many times this app is not correct information, Many times this app is not correct information,Location connectivity,Bug reports,0,1
127483533,com.truecaller,5,,it's more better to introduce video call.. on true caller app by using cell tower...., it's more better to introduce video call.. on true caller app by using cell tower....,Location connectivity,Location connectivity,1,1
38822166,com.truecaller,1,Poor service,Not proper working and not show caller details,Poor service Not proper working and not show caller details,Location connectivity,Location connectivity,1,1
19022302,com.truecaller,5,,Impressive. Could be a little quicker but that may well be a function of the network., Impressive. Could be a little quicker but that may well be a function of the network.,Location connectivity,Location connectivity,1,1
52092043,com.jb.gosms,5,,Very good for sending and managing sms! You can send sms to big groups and you can schedule your messages! You get used with In-app ads if you want it free. :-), Very good for sending and managing sms! You can send sms to big groups and you can schedule your messages! You get used with In-app ads if you want it free. :-),Message feature,Message feature,1,1
6828950,com.textra,3,OK update but new animation is just fluff and Bug reportss remain.,New message indicator improved! Now make Senders Name BOLD. Bug reportsS: if you open a prior draft it doesn't register as a new draft unless you edit the text and ALL drafts should pin at top of message list! Need drafts folder & ability to pin priority msgs at top. VERY annoying! NEEDS: Drafts Folder settings/msgs BACKUP improve menu to actual material design add 'Mark as Unread' ability background image support better font customization. Then 5*! Paid for Pro excited to see more! Dumped GoSMS!!,OK update but new animation is just fluff and Bug reportss remain. New message indicator improved! Now make Senders Name BOLD. Bug reportsS: if you open a prior draft it doesn't register as a new draft unless you edit the text and ALL drafts should pin at top of message list! Need drafts folder & ability to pin priority msgs at top. VERY annoying! NEEDS: Drafts Folder settings/msgs BACKUP improve menu to actual material design add 'Mark as Unread' ability background image support better font customization. Then 5*! Paid for Pro excited to see more! Dumped GoSMS!!,Message feature,Message feature,1,2
70070382,com.handcent.app.nextsms,2,,I don't like the new update. They removed the ability to reply to texts through the notification bar. I liked not having to close out of videos I was watching to reply to texts. Now it's just an ordinary texting app., I don't like the new update. They removed the ability to reply to texts through the notification bar. I liked not having to close out of videos I was watching to reply to texts. Now it's just an ordinary texting app.,Message feature,Message feature,1,1
117319324,com.textra,4,,I wished the app allowed you to copy new incoming text (like a text code) from the notification just like other text apps. Other than that I genuinely like this app a lot and love all the customization features., I wished the app allowed you to copy new incoming text (like a text code) from the notification just like other text apps. Other than that I genuinely like this app a lot and love all the customization features.,Message feature,Message feature,1,2
52184764,com.jb.gosms,5,,Used it for YEARS!! Even had several friends download app. I've always added it to every phone I purchase buuuuuut unfortunately I have to stop. It isn't supported by my SGear3 watch and the read/send text feature of the watch is extremely relevant. *Insert sad face here*, Used it for YEARS!! Even had several friends download app. I've always added it to every phone I purchase buuuuuut unfortunately I have to stop. It isn't supported by my SGear3 watch and the read/send text feature of the watch is extremely relevant. *Insert sad face here*,Message feature,Message feature,1,1
91166322,com.textra,2,,I hate that the ad shows up at the top and I always accidentally tap on it. Not good. That's why I'm uninstalling. You need better ad placement. Also when I clicked on one of the In-app ads it took me to a site that wanted to install some random apk that was not from the play store. Not going to use this app anymore. Fix it if you want but I'm gonna find a better sms app., I hate that the ad shows up at the top and I always accidentally tap on it. Not good. That's why I'm uninstalling. You need better ad placement. Also when I clicked on one of the In-app ads it took me to a site that wanted to install some random apk that was not from the play store. Not going to use this app anymore. Fix it if you want but I'm gonna find a better sms app.,Message feature,In-app ads,0,1
62524338,com.jb.gosms,2,,Startup is getting slower and slower. App is full of useless features but when trying to compose sms it takes ages to load. And eventhough I have paid for vip I get some weird In-app ads that are not possible to skip! Please bring back good old fast and simple sms app!!!, Startup is getting slower and slower. App is full of useless features but when trying to compose sms it takes ages to load. And eventhough I have paid for vip I get some weird In-app ads that are not possible to skip! Please bring back good old fast and simple sms app!!!,Message feature,Message feature,1,1
32898449,com.textra,2,Not sure I want 3rd parties being able to track my movements,In response to your your reply to my comment: App Opps Exposed shows the paid for version of Textra has access to location information. In fact it used it roughly 30 seconds after the update was installed.,Not sure I want 3rd parties being able to track my movements In response to your your reply to my comment: App Opps Exposed shows the paid for version of Textra has access to location information. In fact it used it roughly 30 seconds after the update was installed.,Other,Other,1,1
68315356,com.truecaller,5,,Sir please add true caller in off line even without Internet I would like to know unknown nos name..., Sir please add true caller in off line even without Internet I would like to know unknown nos name...,Other,Caller Identification,0,1
52424087,com.jb.gosms,4,,I have been using this for years. Recently I switched carriers plus from Note 3 to Note 4 I used to have no problems until Note 4 I noticed GO SMS Pro have some kind of Bug reportss that release advertisement if I download or update apps/games. Please remove this Bug reports/glitch! Update: I uninstalled this for mainly ONE reason it doesn't work well with my now Note 5 for WiFi calling (use it for text only). I tried to play around with the setting but to no luck I had to remove it., I have been using this for years. Recently I switched carriers plus from Note 3 to Note 4 I used to have no problems until Note 4 I noticed GO SMS Pro have some kind of Bug reportss that release advertisement if I download or update apps/games. Please remove this Bug reports/glitch! Update: I uninstalled this for mainly ONE reason it doesn't work well with my now Note 5 for WiFi calling (use it for text only). I tried to play around with the setting but to no luck I had to remove it.,Device compatibility,Device compatibility,1,1
47859459,com.jb.gosms,2,,This app has many advertisements. Avatar is not working. It freezes on the screen whenever i received message. It will only disappear on the screen if i force stop this app in the system., This app has many advertisements. Avatar is not working. It freezes on the screen whenever i received message. It will only disappear on the screen if i force stop this app in the system.,App stability,App stability,1,2
56753020,com.truecaller,2,,Doesn't work without Data Connection! When I get a call my Data automaticly cuts off if not connected to Wi-Fi. Which makes the I.D. & BLOCKER Useless., Doesn't work without Data Connection! When I get a call my Data automaticly cuts off if not connected to Wi-Fi. Which makes the I.D. & BLOCKER Useless.,App stability,App stability,1,1
125606749,com.truecaller,4,,M facing problems while starting app. When i click get started a pop up windows shows loading then after waiting for while error display showing unable to connect, M facing problems while starting app. When i click get started a pop up windows shows loading then after waiting for while error display showing unable to connect,App stability,App stability,1,1
39316456,com.jb.gosms,1,Unable to receive mms.,Rarely get mms or group texts always says unable to download. Super annoying and inconsistent.,Unable to receive mms. Rarely get mms or group texts always says unable to download. Super annoying and inconsistent.,App stability,App stability,1,1
38139989,com.textra,5,Wonderful App,I can't believe I ever used the basic messenger app. The customizations are beautiful. The functionality is intuitive and convenient. They've thought if everything. Weight every penny,Wonderful App I can't believe I ever used the basic messenger app. The customizations are beautiful. The functionality is intuitive and convenient. They've thought if everything. Weight every penny,Appraisal,Appraisal,1,1
41189549,com.textra,5,Best Android Text App Hands Down,Love the app most intuitive text app I've ever used. Customization options aplenty and support for the app is wonderful. 99 cents for the pro version is a no-brainer.,Best Android Text App Hands Down Love the app most intuitive text app I've ever used. Customization options aplenty and support for the app is wonderful. 99 cents for the pro version is a no-brainer.,Appraisal,Appraisal,1,2
99806605,com.texty.sms,2,,I used to use MT daily on the desktop app and loved it. I have used it for at least 2 years. A new version was rolled out and I have never been able to receive 100% of my texts on the web version. It takes up more space on my computer screen and is unreliable. When my pro subscription is up this year I do not think I will be renewing., I used to use MT daily on the desktop app and loved it. I have used it for at least 2 years. A new version was rolled out and I have never been able to receive 100% of my texts on the web version. It takes up more space on my computer screen and is unreliable. When my pro subscription is up this year I do not think I will be renewing.,Version update,Version update,1,1
70270325,com.truecaller,1,,I dont know but from few weeks my samsung galaxy a9 pro is showing this app is containing virus please uninstall so.i uninstalled it but later i dowloaded latest updated version also but its still showing the same please give an soltuion ?, I dont know but from few weeks my samsung galaxy a9 pro is showing this app is containing virus please uninstall so.i uninstalled it but later i dowloaded latest updated version also but its still showing the same please give an soltuion ?,Version update,Version update,1,1
121615700,com.truecaller,5,,very helpful this app also gives identities of spams and fake calls robots great work keep it up and get this good and excellent job going, very helpful this app also gives identities of spams and fake calls robots great work keep it up and get this good and excellent job going,Caller identification,Caller identification,1,1
118433651,com.truecaller,4,,Best to see the Caller if you are online and caller is not in your contact. Even you can find out the Caller later also if you are offline during call. You can find out the owner of the number also. Nice app. Dr.Sidharthan Kunnamangalam National Hospital Calicut, Best to see the Caller if you are online and caller is not in your contact. Even you can find out the Caller later also if you are offline during call. You can find out the owner of the number also. Nice app. Dr.Sidharthan Kunnamangalam National Hospital Calicut,Caller identification,Caller identification,1,1
32987559,com.truecaller,4,,Very good app...the update spam feature doesn't seem to work..i updated spams and within a minute got a call from spam which was reported more than 2k times..please check.this feature, Very good app...the update spam feature doesn't seem to work..i updated spams and within a minute got a call from spam which was reported more than 2k times..please check.this feature,Spam,Spam,1,1
98933604,com.truecaller,4,,Stops a lotta spam saves me a lotta time and I ALWAYS know who's calling., Stops a lotta spam saves me a lotta time and I ALWAYS know who's calling.,Spam,Spam,1,1
113902024,com.truecaller,1,,Use this app at your own risk of your data access I am uninstalling this app as it is deleting my contcts from my local contct of my mobile device and storing it to it's own native application. This has happened twice in the past 2 months. i agree that it a very helpful to identify the caller details but get feature on cost my personal data access and that too the limit of deleting it from my mobile ? it's not acceptable. This is absolute case of data breach. It is unethical and illegal., Use this app at your own risk of your data access I am uninstalling this app as it is deleting my contcts from my local contct of my mobile device and storing it to it's own native application. This has happened twice in the past 2 months. i agree that it a very helpful to identify the caller details but get feature on cost my personal data access and that too the limit of deleting it from my mobile ? it's not acceptable. This is absolute case of data breach. It is unethical and illegal.,Spam,Spam,1,1
125606640,com.truecaller,4,,So far I like it. The number of spam calls have decreased. BUT! Lately spammers are sending out text that are being identified by a partially random email address (i.e. fastcash_[random numbers and letters].[random email doman]. TrueCall cal block the entire email address listed but since they're only partially randomized they continue to pass the filter., So far I like it. The number of spam calls have decreased. BUT! Lately spammers are sending out text that are being identified by a partially random email address (i.e. fastcash_[random numbers and letters].[random email doman]. TrueCall cal block the entire email address listed but since they're only partially randomized they continue to pass the filter.,Spam,Spam,1,1
114949453,com.truecaller,1,,Beware of this identity theif app. Its really dangerous because they copy your all contacts and sms to send their servers and sell them to other companies. Have you ever got a call for credit card loan and donation? They purchase your private details to sell their products., Beware of this identity theif app. Its really dangerous because they copy your all contacts and sms to send their servers and sell them to other companies. Have you ever got a call for credit card loan and donation? They purchase your private details to sell their products.,Spam,Spam,1,1
48051446,com.truecaller,5,Great for stopping spam calls.,Been getting a ton of spam calls lately. This identified one within 10 minutes of downloading. Amazing!!,Great for stopping spam calls. Been getting a ton of spam calls lately. This identified one within 10 minutes of downloading. Amazing!!,Spam,Spam,1,1
